bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Brown Creeper,28,Brown Creeper,Brown Creeper,28,Brown Creeper,Brown Creeper,Certhia americana,Certhia americana,Certhia americana,Certhiidae,Passeriformes,AVIBASE-BAC33609,4,16.2,9.6,2.0,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,12.86,63.31,45.97,-101.91,6543644.5
American Crow,29,American Crow,American Crow,29,American Crow,American Crow,Corvus brachyrhynchos,Corvus brachyrhynchos,Corvus brachyrhynchos,Corvidae,Passeriformes,AVIBASE-9E9F2476,4,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,35.3,177.3,448.8,Human Modified,2,2.0,Omnivore,Omnivore,Terrestrial,24.53,63.75,46.23,-97.42,11573830.54
Sooty Albatross,3,Sooty Albatross,Sooty Albatross,3,Sooty Albatross,Sooty Albatross,Phoebetria fusca,Phoebetria fusca,Phoebetria fusca,Diomedeidae,Procellariiformes,AVIBASE-4976BF1D,4,108.9,71.4,17.6,29.8,76.2,510.2,348.5,161.8,68.3,268.8,2553.7,Marine,3,2.0,Carnivore,Aquatic predator,Aquatic,-74.01,-20.45,-45.67,34.43,61330907.01
Fish Crow,30,Fish Crow,Fish Crow,30,Fish Crow,Fish Crow,Corvus ossifragus,Corvus ossifragus,Corvus ossifragus,Corvidae,Passeriformes,AVIBASE-43E56D2C,4,43.3,27.2,13.8,14.8,47.1,276.7,100.6,176.2,36.3,157.1,284.6,Coastal,3,1.0,Omnivore,Omnivore,Terrestrial,24.53,44.92,33.75,-84.16,970986.53
Black billed Cuckoo,31,Black-billed Cuckoo,Black-billed Cuckoo,31,Black-billed Cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,Coccyzus erythropthalmus,Coccyzus erythropthalmus,Cuculidae,Cuculiformes,AVIBASE-41E9F54B,4,27.0,17.0,5.7,6.6,22.9,136.9,55.3,80.3,40.8,143.4,50.9,Forest,1,3.0,Carnivore,Invertivore,Insessorial,32.02,55.74,43.59,-90.65,4944717.14
Mangrove Cuckoo,32,Mangrove Cuckoo,Mangrove Cuckoo,32,Mangrove Cuckoo,Mangrove Cuckoo,Coccyzus minor,Coccyzus minor,Coccyzus minor,Cuculidae,Cuculiformes,AVIBASE-84F096F7,8,31.3,20.6,6.8,9.1,28.1,135.0,43.0,92.5,31.7,155.3,63.9,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,-2.92,28.42,14.86,-79.81,1105292.18
Yellow billed Cuckoo,33,Yellow-billed Cuckoo,Yellow-billed Cuckoo,33,Yellow-billed Cuckoo,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,Coccyzus americanus,Cuculidae,Cuculiformes,AVIBASE-0CF12F81,4,29.2,20.0,7.0,8.2,24.5,143.4,62.4,82.6,43.0,146.3,64.0,Forest,1,3.0,Carnivore,Invertivore,Insessorial,-14.02,48.99,36.04,-90.96,5270361.03
Gray crowned Rosy Finch,34,Grey-crowned Rosy Finch,Grey-crowned Rosy Finch,34,Grey-crowned Rosy Finch,Grey-crowned Rosy Finch,Leucosticte tephrocotis,Leucosticte tephrocotis,Leucosticte tephrocotis,Fringillidae,Passeriformes,AVIBASE-029491CD,4,12.9,9.9,6.4,8.1,19.6,105.5,38.6,66.2,36.9,69.8,37.8,Grassland,3,3.0,Herbivore,Omnivore,Terrestrial,36.31,69.4,61.61,-142.55,2279904.65
Purple Finch,35,Purple Finch,Purple Finch,35,Purple Finch,Purple Finch,Haemorhous purpureus,Haemorhous purpureus,Haemorhous purpureus,Fringillidae,Passeriformes,AVIBASE-B4EE123D,4,12.2,9.1,7.5,9.0,16.6,81.1,22.8,58.2,28.1,59.5,23.3,Forest,2,2.0,Herbivore,Omnivore,Insessorial,32.56,62.24,50.66,-99.96,4534365.72
Northern Flicker,36,Northern Flicker,Northern Flicker,36,Northern Flicker,Northern Flicker,Colaptes auratus,Colaptes auratus,Colaptes auratus,Picidae,Piciformes,AVIBASE-2B7F2525,10,38.4,27.6,8.2,7.9,28.4,151.8,37.5,114.3,24.8,105.3,131.5,Shrubland,2,2.0,Carnivore,Invertivore,Generalist,19.26,68.71,50.48,-99.78,10804791.76
